"Site1","Species1","Phase1","Date1","EndTime1","Site2","Species2","Phase2","Date2","EndTime2","BA95","SL1","HAR1","SL2","HAR2","days","diff.sl"
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Scvetula","IP","2021-06-27","120704.gpx",0.0463007466981124,18,NA,23,NA,6,5
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Scvetula","IP","2021-06-27","134934.gpx",0.119299785826035,18,NA,21,NA,6,3
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Scvetula","TP","2021-06-08","143112.gpx",0.00979558737615858,18,NA,32,2,13,14
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Scvetula","TP","2021-06-08","145549.gpx",0.0266941409523963,18,NA,33,2,13,15
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Scvetula","TP","2021-06-08","152401.gpx",0.189960506685225,18,NA,32,3,13,14
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Scvetula","TP","2021-06-09","135108.gpx",0.0650832056095747,18,NA,32,3,12,14
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spaurofrenatum","IP","2021-06-27","144110.gpx",0.0649426940314555,18,NA,12,NA,6,6
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spaurofrenatum","TP","2021-06-19","152807.gpx",0.141928605589343,18,NA,18,3,2,0
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spaurofrenatum","TP","2021-06-19","155228.gpx",0.353634470106138,18,NA,17,3,2,1
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spaurofrenatum","TP","2021-06-21","110436.gpx",0.210219688524128,18,NA,17,3,0,1
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spaurofrenatum","TP","2021-06-21","113029.gpx",0.00167853535393769,18,NA,16,3,0,2
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spaurofrenatum","TP","2021-06-21","134410.gpx",0.167741772238681,18,NA,17,1,0,1
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","IP","2021-06-25","140238.gpx",0.24537561198267,18,NA,21,NA,4,3
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","IP","2021-06-25","142746.gpx",0.140471432898468,18,NA,22,NA,4,4
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","IP","2021-06-25","155545.gpx",0.364828072319477,18,NA,25,NA,4,7
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","TP","2021-05-23","112128.gpx",0.173899918716867,18,NA,30,5,29,12
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","TP","2021-05-23","125622.gpx",0.129918130919403,18,NA,30,5,29,12
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","TP","2021-05-23","133341.gpx",0.237540441939536,18,NA,30,7,29,12
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","TP","2021-07-17","141313.gpx",0.227842816605335,18,NA,30,5,26,12
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","TP","2021-07-17","144051.gpx",0.102540422323391,18,NA,29,5,26,11
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","TP","2021-07-17","150703.gpx",0.0369646033360775,18,NA,30,5,26,12
"AQ","Sciseri","NTP","2021-06-21","142649.gpx","AQ","Spviride","TP","2021-07-18","112806.gpx",0.184940136342529,18,NA,30,7,27,12
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Sciseri","TP","2021-06-22","115612.gpx",0.231011495286096,17,4,18,7,1,1
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Sctaeniopterus","TP","2021-06-14","141427.gpx",0.389521924993274,17,4,21,4,7,4
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Sctaeniopterus","TP","2021-06-17","110014.gpx",0.296617739737512,17,4,18,2,4,1
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Sctaeniopterus","TP","2021-06-17","112229.gpx",0.0109969974689063,17,4,19,1,4,2
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Sctaeniopterus","TP","2021-06-17","130527.gpx",0.172051999785384,17,4,18,2,4,1
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Scvetula","TP","2021-06-08","152401.gpx",0.170257001516299,17,4,32,3,13,15
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Scvetula","TP","2021-06-09","135108.gpx",0.0105134935830086,17,4,32,3,12,15
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Spaurofrenatum","TP","2021-06-19","155228.gpx",0.00568005345813894,17,4,17,3,2,0
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Spaurofrenatum","TP","2021-06-21","110436.gpx",0.556431707383331,17,4,17,3,0,0
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Spaurofrenatum","TP","2021-06-21","134410.gpx",0.0142255880211314,17,4,17,1,0,0
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Spviride","IP","2021-06-25","142746.gpx",0.0459404877334387,17,4,22,NA,4,5
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Spviride","TP","2021-05-23","125622.gpx",0.0459014227226298,17,4,30,5,29,13
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Spviride","TP","2021-05-23","133341.gpx",0.286388306779502,17,4,30,7,29,13
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Spviride","TP","2021-07-17","144051.gpx",0.0813518053405288,17,4,29,5,26,12
"AQ","Sciseri","NTP","2021-06-21","144917.gpx","AQ","Spviride","TP","2021-07-17","150703.gpx",0.0218636712374453,17,4,30,5,26,13
"AQ","Sciseri","TP","2021-06-21","141320.gpx","AQ","Scvetula","IP","2021-06-27","111929.gpx",0.206779029244485,18,NA,22,NA,6,4
"AQ","Sciseri","TP","2021-06-21","141320.gpx","AQ","Scvetula","TP","2021-06-08","120514.gpx",0.0144128329556408,18,NA,33,2,13,15
"AQ","Sciseri","TP","2021-06-21","141320.gpx","AQ","Scvetula","TP","2021-06-08","123209.gpx",0.349891919268051,18,NA,32,2,13,14
"AQ","Sciseri","TP","2021-06-21","141320.gpx","AQ","Scvetula","TP","2021-06-08","143112.gpx",0.0098943567166571,18,NA,32,2,13,14
"AQ","Sciseri","TP","2021-06-21","141320.gpx","AQ","Scvetula","TP","2021-06-08","145549.gpx",0.0127235559227577,18,NA,33,2,13,15
"AQ","Sciseri","TP","2021-06-21","141320.gpx","AQ","Spviride","TP","2021-05-23","104912.gpx",0.0477221889738051,18,NA,31,4,29,13
"AQ","Sciseri","TP","2021-06-21","141320.gpx","AQ","Spviride","TP","2021-07-17","123824.gpx",0.292140065827987,18,NA,31,4,26,13
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Sciseri","TP","2021-06-22","113048.gpx",0.272851713708323,18,2,17,1,0,1
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Sctaeniopterus","IP","2021-07-06","145859.gpx",0.122744711667961,18,2,18,NA,14,0
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Sctaeniopterus","TP","2021-06-13","104650.gpx",0.0924330672492509,18,2,20,2,9,2
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Sctaeniopterus","TP","2021-06-13","110953.gpx",0.1069536437151,18,2,21,2,9,3
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Sctaeniopterus","TP","2021-06-13","113339.gpx",0.235498399343358,18,2,20,2,9,2
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Sctaeniopterus","TP","2021-06-13","115538.gpx",0.132216665496638,18,2,21,4,9,3
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Sctaeniopterus","TP","2021-06-13","135724.gpx",0.283924218846764,18,2,19,2,9,1
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Scvetula","IP","2021-06-27","105404.gpx",0.334087578162409,18,2,20,NA,5,2
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Scvetula","TP","2021-06-08","113800.gpx",0.578692295510444,18,2,33,2,14,15
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Scvetula","TP","2021-06-08","120514.gpx",0.00546086811487253,18,2,33,2,14,15
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Scvetula","TP","2021-06-09","142348.gpx",0.038285279588691,18,2,32,3,13,14
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Spaurofrenatum","IP","2021-06-29","111557.gpx",0.0795895364998455,18,2,15,NA,7,3
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Spaurofrenatum","IP","2021-06-29","114116.gpx",0.476054263788679,18,2,16,NA,7,2
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Spaurofrenatum","TP","2021-06-19","124852.gpx",0.166423751388375,18,2,17,2,3,1
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Spaurofrenatum","TP","2021-06-19","131334.gpx",0.461884607575133,18,2,18,3,3,0
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Spviride","IP","2021-06-25","131349.gpx",0.292348080053863,18,2,21,NA,3,3
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Spviride","TP","2021-05-23","152353.gpx",0.38391751013688,18,2,30,3,30,12
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Spviride","TP","2021-07-17","114654.gpx",0.117950588300662,18,2,30,3,25,12
"AQ","Sciseri","TP","2021-06-22","110616.gpx","AQ","Spviride","TP","2021-07-17","121344.gpx",0.0450974692484772,18,2,29,2,25,11
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Sctaeniopterus","IP","2021-07-06","143600.gpx",0.233869041154651,17,1,17,NA,14,0
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Sctaeniopterus","TP","2021-06-13","110953.gpx",0.0208165450974237,17,1,21,2,9,4
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Sctaeniopterus","TP","2021-06-13","115538.gpx",0.191176514100753,17,1,21,4,9,4
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Sctaeniopterus","TP","2021-06-13","135724.gpx",0.656836191622082,17,1,19,2,9,2
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Sctaeniopterus","TP","2021-06-13","142110.gpx",0.356744642207463,17,1,21,4,9,4
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Sctaeniopterus","TP","2021-06-13","144603.gpx",0.0385269359604478,17,1,20,2,9,3
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Scvetula","IP","2021-06-27","105404.gpx",0.0818305432826114,17,1,20,NA,5,3
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Scvetula","TP","2021-06-08","113800.gpx",0.27697599103329,17,1,33,2,14,16
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Scvetula","TP","2021-06-08","120514.gpx",0.278318859841889,17,1,33,2,14,16
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spaurofrenatum","IP","2021-06-29","114116.gpx",0.639571892696232,17,1,16,NA,7,1
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spaurofrenatum","TP","2021-06-19","131334.gpx",0.690153498750702,17,1,18,3,3,1
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spaurofrenatum","TP","2021-06-19","134230.gpx",0.0136055244053241,17,1,17,1,3,0
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spviride","IP","2021-06-25","131349.gpx",0.0272878393927733,17,1,21,NA,3,4
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spviride","IP","2021-06-25","133811.gpx",0.153144602769498,17,1,20,NA,3,3
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spviride","TP","2021-05-23","104912.gpx",0.023191199748605,17,1,31,4,30,14
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spviride","TP","2021-05-23","152353.gpx",0.0974895475698053,17,1,30,3,30,13
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spviride","TP","2021-07-17","114654.gpx",0.0304986413530513,17,1,30,3,25,13
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spviride","TP","2021-07-17","121344.gpx",0.513536928545559,17,1,29,2,25,12
"AQ","Sciseri","TP","2021-06-22","113048.gpx","AQ","Spviride","TP","2021-07-17","123824.gpx",0.0473457256177873,17,1,31,4,25,14
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","IP","2021-07-05","142629.gpx",0.0769128495926393,18,7,15,NA,13,3
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","IP","2021-07-06","134526.gpx",0.00551943991080047,18,7,16,NA,14,2
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","TP","2021-06-14","113532.gpx",0.0494622330311351,18,7,22,3,8,4
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","TP","2021-06-14","135125.gpx",0.535617121403305,18,7,20,3,8,2
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","TP","2021-06-14","141427.gpx",0.255837938703871,18,7,21,4,8,3
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","TP","2021-06-17","103428.gpx",0.0220593185416203,18,7,20,3,5,2
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","TP","2021-06-17","110014.gpx",0.120355585943468,18,7,18,2,5,0
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","TP","2021-06-17","112229.gpx",0.0308161434615619,18,7,19,1,5,1
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","TP","2021-06-17","130527.gpx",0.396520277334487,18,7,18,2,5,0
"AQ","Sciseri","TP","2021-06-22","115612.gpx","AQ","Sctaeniopterus","TP","2021-06-17","132934.gpx",0.1864718657405,18,7,20,4,5,2
